Title,Price,Area,Location
Eastlea - House,"$190,000",1254 m²,harare east
"Avenues - Townhouse Complex, House","$215,000",2 bathrooms,harare cbd
Southlea Park - House,"$55,000",1000 m²,harare south
Hillside - House,"$120,000",1 m²,bulawayo south
Belvedere - House,"$230,000",1370 m²,harare west
Groom Bridge - House,"$340,000",4426 m²,harare north
Mabelreign - House,"$140,000",1800 m²,harare west
Norton - House,"$69,000",3409 m²,norton
Mainway Meadows - House,"$75,000",579 m²,harare south
Rydale Ridge - House,"$55,000",482 m²,harare high density
Quinnington - House,"$1,200,000",4047 m²,harare north
Sauerstown - House,"$62,000",3000 m²,bulawayo north
"Newtown - House, Townhouse Complex","$190,000",3200 m²,kwekwe
Bradfield - House,"$130,000",779 m²,bulawayo south
Waterfalls - House,"$80,000",1011 m²,harare south
Msasa Park - House,"$95,000",629 m²,harare south
"Norton - House, House","$60,000",1500 m²,norton
Mainway Meadows - House,"$65,000",404 m²,harare south
Mabelreign - House,"$155,000",2000 m²,harare west
Emerald Hill - House,"$230,000",2008 m²,harare west
Shawasha Hills - House,"$380,000",2100 m²,harare north
Waterfalls - House,"$175,000",4000 m²,harare south
Milton Park - House,"$395,000",2050 m²,harare west
Glaudina - House,"$90,000",600 m²,harare west
Philadelphia - House,"$240,000",4050 m²,harare north
Ruwa - House,"$85,000",400 m²,ruwa
Chicago - House,"$140,000",7 bedrooms,kwekwe
Prospect - House,"$165,000",4066 m²,harare south
Mount Pleasant Heights - House,"$200,000",2000 m²,harare north
Madokero - House,"$90,000",385 m²,harare west
Bluff Hill - House,"$165,000",1255 m²,harare west
Strathaven - House,"$160,000",2000 m²,harare west
Woodville - House,"$135,000",624 m²,bulawayo north
Mandara - House,"$220,000",4476 m²,harare east
Ruwa - House,"$55,000",420 m²,ruwa
"Newlands - House, Townhouse Complex","$320,000",485 m²,harare north
Norton - House,"$50,000",2200 m²,norton
Tynwald - House,"$80,000",600 m²,harare west
Mount Pleasant Heights - House,"$140,000",5300 m²,harare north
Bluff Hill - House,"$175,000",4085 m²,harare west
Highlands - House,"$480,000",2000 m²,harare north
"Greendale North - House, Townhouse Complex","$165,000",2 bathrooms,harare north
Cold Comfort - House,"$62,000",400 m²,harare west
Marlborough - House,"$150,000",200 m²,harare west
Ruwa - House,"$120,000",780 m²,ruwa
Northwood - House,"$400,000",6009 m²,harare north
Greystone Park - House,"$800,000",9000 m²,harare north
Westgate - House,"$90,000",1180 m²,harare west
Chisipite - House,"$450,000",4100 m²,harare north
Arlington - House,"$250,000",3200 m²,harare south
Kumalo - House,"$175,000",1 m²,bulawayo east
Mbizo - House,"$22,000",288 m²,kwekwe
Chitungwiza - House,"$35,000",200 m²,chitungwiza
Norton - House,"$55,000",2 m²,norton
Mabvuku - House,"$25,000",127 m²,harare high density
Rusape - House,"$100,000",18462 m²,rusape
Parktown - House,"$790,000",250000 m²,harare south
Hatfield - House,"$115,000",5000 m²,harare south
Glen Lorne - House,"$930,000",4313 m²,harare north
Chisipite - House,"$250,000",4000 m²,harare north
Umzingwane - House,"$25,000",300 m²,umzingwane
Mt Pleasant Heights - House,"$75,000",2080 m²,harare west
New Marlborough - House,"$180,000",2000 m²,harare west
Aspindale Park - House,"$72,000",250 m²,harare west
Msasa Park - House,"$75,000",500 m²,harare south
Athlone - House,"$200,000",4000 m²,harare east
Sunway City - House,"$120,000",2000 m²,harare east
Glen Lorne - House,"$350,000",2483 m²,harare north
Haig Park - House,"$95,000",835 m²,harare west
Zimre Park - House,"$75,000",580 m²,harare east
"Avondale - Townhouse Complex, House, Townhouse Complex, House","$370,000",1500 m²,harare north
Westgate - House,"$160,000",923 m²,harare west
Arlington - House,"$114,500",200 m²,harare south
Marondera - House,"$18,000",300 m²,marondera
"Chitungwiza - House, Townhouse Complex","$32,000",260 m²,chitungwiza
Greystone Park - House,"$280,000",1 bathrooms,harare north
Kumalo - House,"$350,000",1 m²,bulawayo east
Hillside - House,"$145,000",3718 m²,bulawayo south
Ruwa - House,"$45,000",240 m²,ruwa
Southlea Park - House,"$16,000",300 m²,harare south
Hillside - House,"$125,000",1174 m²,harare south
Highfield - House,"$22,000",200 m²,harare high density
Kuwadzana - House,"$42,000",312 m²,harare high density
Cold Comfort - House,"$70,000",481 m²,harare west
"Avenues - House, Townhouse Complex, House, Townhouse Complex","$160,000",400 m²,harare cbd
Mt Pleasant Heights - House,"$200,000",2000 m²,harare west
Riverside North - House,"$330,000",3 bedrooms,bulawayo east
Kumalo - House,"$250,000",2 bathrooms,bulawayo east
Budiriro - House,"$45,000",300 m²,harare high density
Tynwald - House,"$60,000",423 m²,harare west
Burnside - House,"$180,000",3 bathrooms,bulawayo east
Athlone - House,"$230,000",2619 m²,harare east
"Arcturus - House, House","$680,000",240000 m²,arcturus
Emganwini - House,"$22,000",1 m²,bulawayo high density
Southview Park - House,"$60,000",370 m²,harare south
Mount Pleasant - House,"$450,000",4000 m²,harare north
Glaudina - House,"$65,000",358 m²,harare west
Selbourne Park - House,"$195,000",2000 m²,bulawayo east
Avenues - House,"$45,000",200 m²,harare cbd
Shawasha Hills - House,"$374,000",2100 m²,harare north
"Damofalls - House, House","$23,000",572 m²,damofalls
"Greendale - House, Townhouse Complex","$205,000",4047 m²,harare east
Bulawayo City Centre - House,"$120,000",1 bathrooms,bulawayo cbd industrial
Murambi - House,"$195,000",12869 m²,mutare
Mt Pleasant Heights - House,"$125,000",2200 m²,harare west
Eastlea - House,"$250,000",1581 m²,harare east
Waterfalls - House,"$350,000",4219 m²,harare south
"Arlington - House, Townhouse Complex","$130,000",374 m²,harare south
Murehwa - House,"$22,000",1400 m²,murehwa
Damofalls - House,"$85,000",540 m²,damofalls
Sunning Hill - House,"$160,000",2 bathrooms,bulawayo east
"Norton - House, House","$155,000",5556 m²,norton
Borrowdale Brooke - House,"$750,000",2766 m²,harare north
Kuwadzana - House,"$45,000",325 m²,harare high density
Victoria Falls - House,"$630,000",3432 m²,victoria falls
Mount Pleasant Heights - House,"$190,000",2000 m²,harare north
Marlborough - House,"$150,000",2000 m²,harare west
Murehwa - House,"$22,000",1400 m²,murehwa
Damofalls - House,"$85,000",540 m²,damofalls
Sunning Hill - House,"$160,000",2 bathrooms,bulawayo east
"Norton - House, House","$155,000",5556 m²,norton
Borrowdale Brooke - House,"$750,000",2766 m²,harare north
Kuwadzana - House,"$45,000",325 m²,harare high density
Victoria Falls - House,"$630,000",3432 m²,victoria falls
Mount Pleasant Heights - House,"$190,000",2000 m²,harare north
Marlborough - House,"$150,000",2000 m²,harare west
Kambanji - House,"$345,000",4075 m²,harare north
"Sunridge - House, House","$110,000",981 m²,harare west
Highlands - House,"$420,000",4957 m²,harare north
Milton Park - House,"$200,000",1000 m²,harare west
Norton - House,"$140,000",4046 m²,norton
"Hogerty Hill - House, Townhouse Complex","$747,000",2200 m²,harare north
Burnside - House,"$180,000",4047 m²,bulawayo east
Msasa Park - House,"$65,000",400 m²,harare south
Cold Comfort - House,"$85,000",421 m²,harare west
Greystone Park - House,"$290,000",4139 m²,harare north
Glen View - House,"$32,000",150 m²,harare high density
Greendale - House,"$480,000",8630 m²,harare east
Zengeza - House,"$48,000",358 m²,chitungwiza
Waterfalls - House,"$80,000",445 m²,harare south
Mabvuku - House,"$14,000",150 m²,harare high density
Murambi - House,"$280,000",4251 m²,mutare
Chitungwiza - House,"$35,000",210 m²,chitungwiza
Burnside - House,"$149,000",4147 m²,bulawayo east
Riverside South - House,"$245,000",8000 m²,bulawayo east
Glen Lorne - House,"$800,000",4300 m²,harare north
Zimre Park - House,"$60,000",585 m²,harare east
Tynwald - House,"$120,000",400 m²,harare west
Westgate - House,"$150,000",3 bathrooms,harare west
Mabvuku - House,"$27,000",300 m²,harare high density
Whitecliff - House,"$40,000",200 m²,harare west
Ruwa - House,"$48,000",300 m²,ruwa
Chitungwiza - House,"$30,000",200 m²,chitungwiza
Chinhoyi - House,"$325,000",4131 m²,chinhoyi
"Borrowdale Brooke - House, Townhouse Complex","$460,000",414 m²,harare north
"Arlington - House, Townhouse Complex","$140,000",560 m²,harare south
Eastlea - House,"$280,000",1300 m²,harare east
Northwood - House,"$590,000",4047 m²,harare north
Dawnview Park - House,"$75,000",3 bedrooms,harare west
Golden Acres - House,"$80,000",2000 m²,kwekwe
New Marlborough - House,"$135,000",504 m²,harare west
Eastlea - House,"$200,000",1558 m²,harare east
Arcadia - House,"$90,000",811 m²,harare south
Avondale - House,"$290,000",1981 m²,harare north
"Crowborough - House, House","$40,000",266 m²,harare high density
Chadcombe - House,"$145,000",4400 m²,harare south
Westgate - House,"$120,000",980 m²,harare west
Darwendale - House,"$300,000",8094 m²,darwendale
The Grange - House,"$190,000",4047 m²,harare north
Zengeza - House,"$42,000",450 m²,chitungwiza
Montrose - House,"$70,000",1 bathrooms,bulawayo south
Norton - House,"$25,000",300 m²,norton
Parktown - House,"$92,000",1000 m²,harare south
Ruwa - House,"$45,000",210 m²,ruwa
Greendale - House,"$380,000",9757 m²,harare east
Quinnington - House,"$750,000",4000 m²,harare north
Paddonhurst - House,"$105,000",2 bathrooms,bulawayo north
Marlborough - House,"$160,000",2000 m²,harare west
"Queens Park East - House, House","$55,000",1 m²,bulawayo north
Chadcombe - House,"$120,000",4300 m²,harare south
"Hillside - House, Townhouse Complex","$130,000",2 bathrooms,bulawayo south
Mbizo - House,"$26,000",200 m²,kwekwe
Burnside - House,"$250,000",1 m²,bulawayo east
"Nyanga - House, Townhouse Complex","$80,000",3200 m²,nyanga
Matsheumhlope - House,"$230,000",4047 m²,bulawayo east
Bindura - House,"$150,000",1700 m²,bindura
Mbizo - House,"$26,000",312 m²,kwekwe
Borrowdale - House,"$100,000",1560 m²,harare north
Mount Pleasant Heights - House,"$230,000",2000 m²,harare north
Fern valley - House,"$75,000",4310 m²,mutare
Old Windsor - House,"$110,000",2000 m²,ruwa
Avondale - The Ridge - House,"$750,000",4049 m²,harare west
Waterfalls - House,"$50,000",1000 m²,harare south
Chitungwiza - House,"$40,000",300 m²,chitungwiza
"Greendale North - House, Townhouse Complex","$240,000",500 m²,harare north
Shawasha Hills - House,"$380,000",2100 m²,harare north
Madokero - House,"$105,000",450 m²,harare west
Vainona - House,"$400,000",2200 m²,harare north
Matsheumhlope - House,"$190,000",12237 m²,bulawayo east
"Hillside - House, Townhouse Complex","$130,000",2 bathrooms,bulawayo south
Highfield - House,"$46,500",400 m²,harare high density
Nyanga - House,"$150,000",25000 m²,nyanga
Hatfield - House,"$150,000",4000 m²,harare south
Chitungwiza - House,"$22,000",200 m²,chitungwiza
Mutare CBD - House,"$110,000",1672 m²,mutare
Bluff Hill - House,"$120,000",500 m²,harare west
Emganwini - House,"$30,000",1 m²,bulawayo high density
Mandara - House,"$260,000",4047 m²,harare east
Madokero - House,"$120,000",368 m²,harare west
Alexandra Park - House,"$330,000",2391 m²,harare north
Matsheumhlope - House,"$240,000",8094 m²,bulawayo east
Zimre Park - House,"$45,000",780 m²,harare east
Park Meadowlands - House,"$125,000",3000 m²,harare south
Fitchlea - House,"$70,000",1000 m²,kwekwe
Cranborne - House,"$75,000",714 m²,harare south
Waterfalls - House,"$140,000",4512 m²,harare south
Mount Pleasant - House,"$450,000",4000 m²,harare north
Braeside - House,"$130,000",1000 m²,harare south
Marondera - House,"$70,000",1200 m²,marondera
Murambi - House,"$280,000",4251 m²,mutare
Ruwa - House,"$85,000",400 m²,ruwa
Borrowdale Brooke - House,"$1,500,000",7820 m²,harare north
Norton - House,"$59,000",2100 m²,norton
Glen View - House,"$40,000",350 m²,harare high density
Chitungwiza - House,"$38,000",300 m²,chitungwiza
Avonlea - House,"$120,000",1200 m²,harare west
Marondera - House,"$45,000",500 m²,marondera
"Fairview - House, Townhouse Complex","$90,000",1000 m²,harare west
Arlington - House,"$125,000",1000 m²,harare south
Marimba Park - House,"$85,000",1057 m²,harare high density
Manresa - House,"$100,000",550 m²,harare east
"Greendale - House, Townhouse Complex","$145,000",600 m²,harare east
Bluff Hill - House,"$190,000",4000 m²,harare west
Kambanji - House,"$380,000",4047 m²,harare north
"Hatfield - House, Townhouse Complex","$139,000",602 m²,harare south
Alexandra Park - House,"$840,000",2900 m²,harare north
Westlea - House,"$68,000",500 m²,harare west
Kambuzuma - House,"$35,000",260 m²,harare high density
Houghton Park - House,"$85,000",644 m²,harare south
Kuwadzana - House,"$38,000",350 m²,harare high density
"Newlands - House, Townhouse Complex","$280,000",2 bathrooms,harare north
Manresa - House,"$56,000",1190 m²,harare east
Ryelands - House,"$380,000",4200 m²,harare north
Suburbs - House,"$85,000",1 bathrooms,bulawayo east
Aspindale Park - House,"$68,000",240 m²,harare west
Cold Comfort - House,"$65,000",400 m²,harare west
Chitungwiza - House,"$40,000",300 m²,chitungwiza
"Monavale - House, Townhouse Complex","$50,000", , 
Budiriro - House,"$42,000",360 m²,harare high density
Upper Rangemore - House,"$65,000",3500 m²,bulawayo high density
Highlands - House,"$320,000",2948 m²,harare north
Ilanda - House,"$160,000",1 m²,bulawayo east
Mainway Meadows - House,"$100,000",544 m²,harare south
Goromonzi - House,"$185,000",64300 m²,goromonzi
Greystone Park - House,"$400,000",4050 m²,harare north
"Norton - House, Townhouse Complex","$250,000",1500 m²,norton
Kumalo - House,"$230,000",2693 m²,bulawayo east
Hatfield - House,"$250,000",5400 m²,harare south
"Greendale - House, Townhouse Complex","$270,000",3 bathrooms,harare east
Greendale - House,"$295,000",4205 m²,harare east
Tafara - House,"$37,000",250 m²,harare high density
Hatfield - House,"$110,000",2506 m²,harare south
Chitungwiza - House,"$25,000",200 m²,chitungwiza
Budiriro - House,"$21,000",200 m²,harare high density
Groom Bridge - House,"$350,000",4223 m²,harare north
Glaudina - House,"$75,000",600 m²,harare west
Eastlea - House,"$298,000",1558 m²,harare east
Hogerty Hill - House,"$430,000",2600 m²,harare north
Madokero - House,"$90,000",475 m²,harare west
Milton Park - House,"$290,000",1883 m²,harare west
Kumalo - House,"$160,000",3046 m²,bulawayo east
"Greendale - House, Townhouse Complex","$270,000",400 m²,harare east
Emganwini - House,"$26,000",350 m²,bulawayo high density
Glen Lorne - House,"$450,000",7400 m²,harare north
Glen Lorne - House,"$450,000",4000 m²,harare north
Ryelands - House,"$380,000",4200 m²,harare north
Borrowdale - House,"$500,000",2000 m²,harare north
"Avondale West - House, House","$145,000",2 bedrooms,harare west
Norton - House,"$85,000",1641 m²,norton
Cold Comfort - House,"$78,000",500 m²,harare west
Bindura - House,"$150,000",1710 m²,bindura
Madokero - House,"$130,000",340 m²,harare west
Greendale - House,"$175,000",2000 m²,harare east
Pumula South - House,"$30,000",326 m²,bulawayo high density
Fairbridge Park - House,"$195,000",3081 m²,mutare
Colne Valley - House,"$400,000",4065 m²,harare north
Matsheumhlope - House,"$330,000",2 bathrooms,bulawayo east
Upper Rangemore - House,"$18,000",200 m²,bulawayo high density
Bulawayo City Centre - House,"$350,000",800 m²,bulawayo cbd industrial
Greendale - House,"$165,000",4000 m²,harare east
Goodhope - House,"$225,000",3900 m²,harare west
Ballantyne Park - House,"$680,000",4020 m²,harare north
Houghton Park - House,"$60,000",512 m²,harare south
"Avondale West - House, Townhouse Complex","$220,000",4000 m²,harare west
Mufakose - House,"$45,000",500 m²,harare high density
Gletwin Park - House,"$280,000",2000 m²,harare north
Mainway Meadows - House,"$95,000",450 m²,harare south
Avondale - House,"$140,000",1200 m²,harare north
"Marlborough - House, Townhouse Complex","$140,000",2 bathrooms,harare west
Borrowdale - House,"$380,000",6867 m²,harare north
Greendale - House,"$210,000",2050 m²,harare east
KweKwe - House,"$31,000",2 bedrooms,kwekwe
Chadcombe - House,"$160,000",4400 m²,harare south
Chitungwiza - House,"$35,000",300 m²,chitungwiza
Binga - House,"$230,000",1 m²,binga
Parklands - House,"$90,000",1 bathrooms,bulawayo east
Borrowdale - House,"$480,000",3000 m²,harare north
Rydale Ridge - House,"$75,000",482 m²,harare high density
"Budiriro - House, House","$28,000",300 m²,harare high density
Greendale - House,"$480,000",8630 m²,harare east
Southerton - House,"$70,000",672 m²,harare south
Manresa - House,"$69,000",2128 m²,harare east
Glen View - House,"$45,000",200 m²,harare high density
Mt Pleasant Heights - House,"$210,000",1800 m²,harare west
Ruwa - House,"$65,000",450 m²,ruwa
Norton - House,"$80,000",2000 m²,norton
Gunhill - House,"$255,000",2398 m²,harare north
Mabelreign - House,"$158,000",1040 m²,harare west
"Borrowdale - House, Townhouse Complex","$375,000",2000 m²,harare north
Binga - House,"$100,000",1 m²,binga
Stoneridge - House,"$12,000",300 m²,harare south
Ruwa - House,"$28,000",545 m²,ruwa
Zengeza - House,"$35,000",300 m²,chitungwiza
"Waterfalls - House, Townhouse Complex","$83,000",1000 m²,harare south
Aspindale Park - House,"$75,000",200 m²,harare west
Gweru East - House,"$32,000",150 m²,gweru
Helensvale - House,"$320,000",3954 m²,harare north
Highlands - House,"$320,000",3100 m²,harare north
Banket - House,"$45,000",2800 m²,banket
"Chinhoyi - House, House","$180,000",2000 m²,chinhoyi
Southview Park - House,"$56,000",230 m²,harare south
Redcliff - House,"$65,000",2323 m²,redcliff
Greystone Park - House,"$515,000",2200 m²,harare north
Zimre Park - House,"$85,000",512 m²,harare east
"Arlington - House, Townhouse Complex","$128,000",250 m²,harare south
Magwegwe - House,"$26,000",200 m²,bulawayo high density
Nkulumane - House,"$8,874",250 m²,bulawayo high density
Mt Pleasant Heights - House,"$210,000",1801 m²,harare west
Montrose - House,"$65,000",1231 m²,bulawayo south
Southview Park - House,"$65,000",300 m²,harare south
Waterfalls - House,"$115,000",3000 m²,harare south
Ruwa - House,"$45,000",400 m²,ruwa
Luveve - House,"$24,000",3 bedrooms,bulawayo high density
Burnside - House,"$530,000",5338 m²,bulawayo east
Mandara - House,"$280,000",2 bathrooms,harare east
Budiriro - House,"$20,000",300 m²,harare high density
Madokero - House,"$90,000",411 m²,harare west
Cold Comfort - House,"$85,000",490 m²,harare west
Aspindale Park - House,"$70,000",200 m²,harare west
Sandton Park - House,"$57,000",900 m²,harare west
Avondale - House,"$160,000",1100 m²,harare north
Chitungwiza - House,"$28,000",200 m²,chitungwiza
Kambuzuma - House,"$33,000",200 m²,harare high density
Waterfalls - House,"$100,000",544 m²,harare south
Manresa - House,"$128,000",18003380 m²,harare east
Damofalls - House,"$45,000",350 m²,damofalls
Domboshawa - House,"$40,000",4000 m²,domboshawa
Aspindale Park - House,"$48,000",200 m²,harare west
Masvingo - House,"$30,000",675 m²,masvingo
Kumalo - House,"$150,000",2 bathrooms,bulawayo east
Arlington - House,"$95,000",475 m²,harare south
St. Marys - House,"$26,000",250 m²,chitungwiza
Tynwald - House,"$90,000",350 m²,harare west
Damofalls - House,"$50,000",500 m²,damofalls
Damofalls - House,"$40,000",300 m²,damofalls
Marondera - House,"$65,000",851 m²,marondera
Borrowdale - House,"$550,000",8400 m²,harare north
St. Marys - House,"$35,000",300 m²,chitungwiza
Hwange - House,"$80,000",3 bedrooms,hwange
Chegutu - House,"$65,000",1850 m²,chegutu
Borrowdale Brooke - House,"$1,800,000",5226 m²,harare north
Sunway City - House,"$110,000",3000 m²,harare east
Glen View - House,"$35,000",200 m²,harare high density
Borrowdale - House,"$750,000",2000 m²,harare north
"Hatfield - House, Townhouse Complex","$116,000",500 m²,harare south
Marlborough - House,"$130,000",2000 m²,harare west
Greystone Park - House,"$260,000",4000 m²,harare north
Prospect - House,"$150,000",800 m²,harare south
"Hillside - House, Townhouse Complex","$150,000",2 bathrooms,bulawayo south
Damofalls - House,"$48,000",313 m²,damofalls
Woodlands Park - House,"$45,000",300 m²,gweru
"Greendale - House, Townhouse Complex","$155,000",2 bathrooms,harare east
Rusape - House,"$40,000",450 m²,rusape
Cold Comfort - House,"$85,000",461 m²,harare west
Redcliff - House,"$65,000",1645 m²,redcliff
Bradfield - House,"$130,000",779 m²,bulawayo south
Zengeza - House,"$35,000",300 m²,chitungwiza
Chinhoyi - House,"$60,000",900 m²,chinhoyi
Mt Pleasant Heights - House,"$120,000",2000 m²,harare west
Pomona - House,"$100,000",2100 m²,harare north
Milton Park - House,"$330,000",2379 m²,harare west
"Glen Lorne - House, House","$3,200,000",56650 m²,harare north
"Avenues - House, Townhouse Complex","$45,000",1 bathrooms,harare cbd
Belgravia - House,"$800,000",2704 m²,harare north
Hillside - House,"$750,000",4000 m²,bulawayo south
Chitungwiza - House,"$30,000",200 m²,chitungwiza
Borrowdale - House,"$450,000",4844 m²,harare north
Budiriro - House,"$38,000",300 m²,harare high density
Kariba - House,"$150,000",2760 m²,kariba
Mainway Meadows - House,"$94,000",500 m²,harare south
"Ilanda - House, Townhouse Complex","$220,000",3 bathrooms,bulawayo east
Arcturus - House,"$780,000",60705 m²,arcturus
Arcadia - House,"$100,000",714 m²,harare south
Tynwald - House,"$109,000",400 m²,harare west
"Goodhope - House, Townhouse Complex","$700,000",2400 m²,harare west
Athlone - House,"$220,000",4000 m²,harare east
Dzivarasekwa - House,"$28,000",180 m²,harare high density
Mabelreign - House,"$110,000",1786 m²,harare west
Borrowdale - House,"$195,000",1700 m²,harare north
"Waterfalls - House, Townhouse Complex","$75,000",1000 m²,harare south
Budiriro - House,"$35,000",300 m²,harare high density
Springvale - House,"$60,000",300 m²,ruwa
Gletwin Park - House,"$280,000",2000 m²,harare north
Parklands - House,"$85,000",1 m²,bulawayo east
"Damofalls - House, Townhouse Complex","$35,000",200 m²,damofalls
Zengeza - House,"$35,000",200 m²,chitungwiza
Aspindale Park - House,"$65,000",200 m²,harare west
Glaudina - House,"$90,000",600 m²,harare west
Hogerty Hill - House,"$197,000",58 m²,harare north
"Westgate - House, Townhouse Complex","$85,000",500 m²,harare west
Mabvuku - House,"$25,000",127 m²,harare high density
Zimre Park - House,"$55,000",500 m²,harare east
Mt Pleasant Heights - House,"$350,000",1800 m²,harare west
Shawasha Hills - House,"$960,000",10900 m²,harare north
"Westgate - House, Townhouse Complex","$135,000",500 m²,harare west
Kariba - House,"$300,000",5077 m²,kariba
Helensvale - House,"$140,000",3000 m²,harare north
Kadoma - House,"$150,000",3000 m²,kadoma
"Hogerty Hill - House, Townhouse Complex","$250,000",7500 m²,harare north
Budiriro - House,"$37,000",300 m²,harare high density
Mufakose - House,"$27,000",3 bedrooms,harare high density
Waterfalls - House,"$220,000",4000 m²,harare south
Norton - House,"$65,000",2025 m²,norton
"Suburbs - House, Townhouse Complex","$85,000",1 bathrooms,bulawayo east
Marlborough - House,"$140,000",3 bathrooms,harare west
Bordervale - House,"$180,000",2000 m²,mutare
"Mabelreign - House, House","$137,000",1800 m²,harare west
Karoi - House,"$50,000",1000 m²,karoi
Waterfalls - House,"$85,000",540 m²,harare south
Suburbs - House,"$500,000",3 bedrooms,bulawayo east
Ashdown Park - House,"$55,000",587 m²,harare west
Mainway Meadows - House,"$80,000",500 m²,harare south
Helensvale - House,"$6,000,000",24000 m²,harare north
Borrowdale - House,"$485,000",2400 m²,harare north
Helensvale - House,"$350,000",4000 m²,harare north
Kuwadzana - House,"$25,000",150 m²,harare high density
Kariba - House,"$150,000",34 m²,kariba
"Highlands - House, Townhouse Complex","$295,000",495 m²,harare north
Borrowdale - House,"$70,000",1000 m²,harare north
Borrowdale - House,"$895,000",5600 m²,harare north
Philadelphia - House,"$140,000",2867 m²,harare north
Zengeza - House,"$19,000",200 m²,chitungwiza
Rydale Ridge - House,"$34,000",2300 m²,harare high density
Budiriro - House,"$50,000",340 m²,harare high density
Emerald Hill - House,"$300,000",5000 m²,harare west
Glen Lorne - House,"$350,000",4100 m²,harare north
Tynwald - House,"$100,000",407 m²,harare west
Tynwald - House,"$50,000",600 m²,harare west
Ruwa - House,"$40,000",300 m²,ruwa
Glaudina - House,"$30,000",375 m²,harare west
Ashdown Park - House,"$115,000",810 m²,harare west
Belvedere - House,"$270,000",1200 m²,harare west
Chitungwiza - House,"$28,000",200 m²,chitungwiza
Chisipite - House,"$587,000",2050 m²,harare north
Kadoma - House,"$13,000",390 m²,kadoma
Morningside - House,"$127,000",1835 m²,mutare
Kumalo - House,"$265,000",4047 m²,bulawayo east
Msasa Park - House,"$75,000",800 m²,harare south
Ruwa - House,"$70,000",406 m²,ruwa
Borrowdale - House,"$350,000",4000 m²,harare north
Munda - House,"$320,000",2 m²,bulawayo south
Mt Pleasant Heights - House,"$210,000",1800 m²,harare west
Chikanga - House,"$27,000",306 m²,mutare
"Monavale - House, House","$90,000",1898 m²,harare west
Dzivarasekwa - House,"$24,000",225 m²,harare high density
Borrowdale - House,"$120,000",700 m²,harare north
Greystone Park - House,"$325,000",4000 m²,harare north
"Borrowdale - House, Townhouse Complex","$155,000",700 m²,harare north
Waterfalls - House,"$50,000",300 m²,harare south
Aspindale Park - House,"$73,000",1 m²,harare west
Nketa - House,"$48,000",488 m²,bulawayo high density
Tafara - House,"$35,000",277 m²,harare high density
Zimre Park - House,"$65,000",1000 m²,harare east
Newlands - House,"$680,000",4147 m²,harare north
Eastlea - House,"$260,000",1565 m²,harare east
Borrowdale - House,"$80,000",2105 m²,harare north
Zimre Park - House,"$160,000",900 m²,harare east
Goromonzi - House,"$790,000",60705 m²,goromonzi
Mufakose - House,"$38,000",300 m²,harare high density
Westgate - House,"$145,000",1080 m²,harare west
Morningside - House,"$120,000",1 bathrooms,bulawayo south
Sunway City - House,"$75,000",3291 m²,harare east
Windsor Park - House,"$135,000",2000 m²,ruwa
Aspindale Park - House,"$70,000",200 m²,harare west
Aspindale Park - House,"$75,000",200 m²,harare west
Glen Lorne - House,"$320,000",4478 m²,harare north
Glen View - House,"$25,000",250 m²,harare high density
Masvingo - House,"$135,000",2090 m²,masvingo
Southview Park - House,"$43,000",260 m²,harare south
Ruwa - House,"$35,000",350 m²,ruwa
Sandton Park - House,"$80,000",1631 m²,harare west
St. Martins - House,"$75,000",700 m²,harare south
Darwendale - House,"$80,000",3790 m²,darwendale
Southerton - House,"$75,000",680 m²,harare south
Hillside - House,"$130,000",3801 m²,bulawayo south
"Borrowdale - House, Townhouse Complex","$285,000",2000 m²,harare north
Glen Forest - House,"$220,000",2100 m²,harare north
Emerald Hill - House,"$250,000",1003 m²,harare west
Arcadia - House,"$100,000",714 m²,harare south
Highfield - House,"$23,000",190 m²,harare high density
Rockview - House,"$60,000",2000 m²,harare east
Southlea Park - House,"$33,000",200 m²,harare south
Nketa - House,"$32,000",300 m²,bulawayo high density
Hillside - House,"$230,000",2 bathrooms,bulawayo south
Greendale - House,"$200,000",2000 m²,harare east
Rolf Valley - House,"$550,000",4845 m²,harare north
Rockview - House,"$60,000",1000 m²,harare east
Ruwa - House,"$33,000",240 m²,ruwa
"Highlands - House, Townhouse Complex","$225,000",420 m²,harare north
Zimre Park - House,"$28,000",800 m²,harare east
Borrowdale Brooke - House,"$3,500,000",4027 m²,harare north
Parktown - House,"$118,000",1000 m²,harare south
Mount Pleasant Heights - House,"$125,000",2000 m²,harare north
"Selbourne Park - Townhouse Complex, House","$640,000",4047 m²,bulawayo east
Kambanji - House,"$267,000",4000 m²,harare north
Ruwa - House,"$55,000",600 m²,ruwa
Suburbs - House,"$230,000",1 bathrooms,bulawayo east
"Victoria Falls - House, Townhouse Complex","$270,000",657 m²,victoria falls
Haydon Park - House,"$95,000",880 m²,harare west
Marlborough - House,"$140,000",500 m²,harare west
Glen Lorne - House,"$500,000",9400 m²,harare north
Arcadia - House,"$45,000",268 m²,harare south
Borrowdale West - House,"$240,000",2200 m²,harare north
Helensvale - House,"$250,000",4915 m²,harare north
Crowhill Views - House,"$25,000",500 m²,harare north
Glaudina - House,"$60,000",300 m²,harare west
Tynwald - House,"$100,000",500 m²,harare west
Tynwald - House,"$100,000",500 m²,harare west
Tynwald - House,"$70,000",448 m²,harare west
Chitungwiza - House,"$25,000",200 m²,chitungwiza
Hatfield - House,"$180,000",4064 m²,harare south
